strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
put_spread,JBL,2025-11-18,2026-01-02,198.88,180.0,170.0,,,2.131361775040694,786.8638224959307,0.716464303162891,0.6042619111151298,0.53592339,240.39,213.1361775040694,True,Expired OTM
put_spread,MU,2025-11-18,2026-01-02,228.5,200.0,190.0,,,2.570561176121706,742.9438823878294,0.6923993928658965,0.71685659827314,0.75980157,315.42,257.0561176121706,True,Expired OTM
put_spread,EBAY,2025-11-18,2026-01-02,81.83,75.0,70.0,,,0.46760340380352444,453.23965961964757,0.8130530782053818,0.38970549507118185,0.3248718,87.06,46.760340380352446,True,Expired OTM
put_spread,GOOGL,2025-11-18,2026-01-02,284.28,270.0,260.0,,,2.4749529556011387,752.5047044398862,0.6730951450909961,0.3338037958088533,0.35952585,315.15,247.49529556011387,True,Expired OTM
put_spread,GOOG,2025-11-18,2026-01-02,284.96,270.0,260.0,,,2.393372872951402,760.6627127048598,0.6821492959611711,0.3283247138883028,0.35824002,315.32,239.33728729514021,True,Expired OTM
put_spread,AMAT,2025-11-18,2026-01-02,225.12,210.0,200.0,,,2.409392659506138,759.0607340493862,0.6817553036632014,0.4199775596852982,0.45134401,268.87,240.93926595061382,True,Expired OTM
put_spread,LRCX,2025-11-18,2026-01-02,143.24,130.0,125.0,,,1.161921017177927,383.8078982822073,0.7091748780971318,0.43366606312902267,0.53854268,185.06,116.19210171779271,True,Expired OTM
put_spread,APH,2025-11-18,2026-01-02,132.44,125.0,120.0,,,1.3106911162702515,368.93088837297483,0.6599255975739151,0.5393095273995981,0.42605592,139.71,131.06911162702514,True,Expired OTM
put_spread,J,2025-11-18,2026-01-02,150.76,145.0,140.0,,,1.3524151345315572,364.75848654684427,0.6409862799565069,0.521476790485768,0.33242807,135.35,-364.75848654684427,False,Expired deep ITM
put_spread,FIX,2025-11-18,2026-01-02,920.99,840.0,800.0,,,9.597835973004031,3040.216402699597,0.6983000773197691,0.46275712496777405,0.53811407,1003.64,959.7835973004031,True,Expired OTM
put_spread,DLTR,2025-11-18,2026-01-02,101.57,95.0,90.0,,,1.3474707544758138,365.2529245524186,0.6481738080784429,0.48451689875968285,0.51373082,127.7,134.74707544758138,True,Expired OTM
put_spread,FE,2025-11-18,2026-01-02,46.61,45.0,43.0,,,0.2924145017503355,170.75854982496645,0.7086146202200974,0.3060629730348715,0.21152782,45.26,29.241450175033552,True,Expired OTM
put_spread,NDSN,2025-11-18,2026-01-02,226.69,210.0,200.0,,,1.4614446946503739,853.8555305349626,0.7731379632095104,0.4977794204065114,0.33461875,241.03,146.1444694650374,True,Expired OTM
put_spread,AMZN,2025-11-18,2026-01-02,222.55,210.0,200.0,,,2.095678134624996,790.4321865375005,0.6985399201732483,0.30519823413525504,0.35455713,226.5,209.5678134624996,True,Expired OTM
iron_condor,KMB,2025-11-18,2026-01-02,103.25,100.0,95.0,110.0,115.0,1.7704462863853383,322.9553713614662,0.4483243480806469,0.3405612195968814,0.27132709,101.4,177.04462863853382,True,Expired between short strikes
iron_condor,LW,2025-11-18,2026-01-02,56.18,50.0,47.5,65.0,70.0,0.4971610223536678,450.28389776463325,0.7337141412176221,0.3391040673534327,0.40473645,42.29,-200.2838977646332,False,Put side max loss
